Vision_Conf,ESP32_Class,Audio_db,PIR_Trig,Thermal_Delta,Smoke_PPM,Label
73,2,56,1,0.5096430181522059,208,0
91,1,83,1,35.83116872429139,0,1
93,1,89,1,43.95233185533966,867,1
97,1,81,1,35.39105466714764,0,1
74,2,54,1,2.960660809801552,287,0
91,1,85,1,26.98516461607574,0,1
49,3,48,1,2.497251550230758,378,0
92,1,67,1,38.619305674569716,0,1
91,1,85,1,40.344435470392476,0,1
87,1,60,1,38.559605258577,1333,1
93,2,86,1,4.548466092737216,353,2
95,1,80,1,49.82411990298251,0,1
96,2,79,1,3.5846744027601316,343,2
54,3,34,1,1.1964683426907015,236,0
99,1,81,1,55.74541013384535,1062,1
98,1,84,1,30.22679051844284,0,1
91,2,91,1,5.200491867534287,295,2
85,1,87,1,35.495703426746374,1930,1
99,1,82,1,31.271513183666528,0,1
38,3,30,1,1.4063038963935175,288,0
93,1,79,1,32.797797638417634,0,1
98,2,84,1,3.2199527505789103,330,2
94,2,98,1,5.978453341136527,203,2
91,1,83,1,29.140708675706634,0,1
85,1,78,1,52.834458926134104,993,1
81,1,88,1,57.26961613266033,1737,1
33,3,31,1,2.2873760572220716,322,0
99,2,89,1,9.524196738570122,221,2
95,2,85,1,8.784385676651308,395,2
97,1,65,1,35.29602285368171,0,1
94,1,61,1,42.10582566280392,0,1
94,1,67,1,41.52535635618301,0,1
94,1,74,1,40.755218708228604,0,1
40,2,50,1,1.5817955427457697,267,0
38,2,32,1,0.3494335490200112,351,0
97,1,76,1,32.48989779416193,0,1
96,1,84,1,32.03802996037325,0,1
95,2,87,1,9.932326126555537,202,2
49,2,33,1,1.8750875582556172,201,0
83,3,53,1,2.9060238167230716,358,0
65,2,33,1,2.1805164931447125,326,0
59,2,46,1,0.187293981833341,310,0
96,2,90,1,3.922005200053655,288,2
46,2,58,1,0.9526637396085053,235,0
81,1,88,1,47.14679826690259,1249,1
93,2,83,1,5.673577477570271,377,2
96,1,86,1,40.78817051577937,1818,1
90,1,85,1,33.997797581185594,895,1
87,2,90,1,4.4838774363156695,213,2
97,2,95,1,9.73617142091449,333,2
86,2,34,1,1.0701961591200049,364,0
96,2,87,1,7.970803364360956,202,2
81,1,68,1,35.01039617770665,1299,1
82,1,87,1,25.14001412935641,1756,1
96,1,67,1,31.784775853847727,1446,1
96,1,80,1,41.4676943875219,0,1
85,2,86,1,4.7327796892236265,208,2
93,2,99,1,9.095274152360814,272,2
92,2,95,1,7.617405564763196,315,2
92,1,65,1,48.88264256815141,1397,1
99,2,85,1,7.001288826289299,378,2
96,1,77,1,27.905568823645204,1129,1
87,2,84,1,3.0446533038461348,344,2
88,1,78,1,23.651467071445342,1254,1
83,1,65,1,40.89776581621858,1206,1
99,2,85,1,3.000215031917677,230,2
48,3,32,1,1.9455144603560646,357,0
37,3,56,1,0.5204881510650661,264,0
94,1,85,1,21.016765069763807,1663,1
91,1,88,1,27.36107401889821,0,1
53,2,43,1,1.1144578309783026,227,0
50,2,49,1,2.716079622833611,250,0
54,3,48,1,0.528286413991784,301,0
99,1,72,1,28.477904853576547,0,1
85,3,51,1,0.19849556650332134,364,0
88,2,45,1,2.1250889301451044,306,0
89,2,75,1,7.440459412909546,325,2
99,1,66,1,34.13989252509917,0,1
50,3,34,1,1.9625238044222235,364,0
94,1,76,1,23.057594441577905,1410,1
80,1,72,1,47.18532729580574,1093,1
92,1,88,1,30.34753322791632,1869,1
89,1,85,1,24.321782375056284,1849,1
52,3,32,1,1.2325712755214893,337,0
83,1,73,1,50.16430721264656,1175,1
96,2,82,1,9.140832339783255,324,2
90,1,87,1,34.36088424301055,0,1
30,2,42,1,1.8185239033526401,389,0
90,1,65,1,33.415106954848014,0,1
69,3,42,1,1.2076501307909417,221,0
86,2,80,1,5.791771097111871,343,2
66,3,58,1,1.1111909588259195,323,0
94,2,97,1,3.908785142662023,268,2
87,2,79,1,5.958592236522708,300,2
86,2,99,1,4.821656185896606,237,2
44,3,48,1,2.72158509211749,350,0
95,1,72,1,29.859500849871825,0,1
96,2,79,1,8.504415100908865,370,2
98,2,94,1,4.607187125277781,350,2
88,2,89,1,8.15775732776439,310,2
96,2,76,1,3.210149325043503,336,2
91,1,63,1,38.904543375993924,0,1
90,1,79,1,53.59788658689887,1773,1
84,1,81,1,45.489263191579475,1265,1
84,3,48,1,2.0929256144803903,228,0
